Price,Title,RAM,Hard Drive,Graphics Coprocessor,Number of USB 3.0 Ports,Brand,Series,Operating System,Processor Brand,Item model number,Graphics Card Ram Size,Manufacturer,Form Factor,Processor Type,Processor Speed,Memory Technology,Hard Disk Description,Graphics Chipset Brand,DisplaySizeInches,HorizontalPixels,VerticalPixels,WeightKg,Refurbished,base_color
271.98640000000006,"Laptop Computer,8GB RAM 256GB SSD, Intel Celeron Processor, Laptop Computers with 1366 * 768 IPS Display,2.4/5G WiFi, Bluetooth, Type-C, TF Card, 2MP Webcam",LPDDR4,256 GB SSD,Intel,2,UGRIHACH,UG-CS-156,11,Intel,CS-156,2,Intel,Laptop,Celeron,2.4,other,SSD,Intel,15.6,1366,768,1.6510748800000001,0,other
503.1864000000001,"Morostron 15.6"" Full Metal Laptop Intel Quad-Core Processor, 16GB LPDDR4 RAM 256GB SSD and 1080P FHD IPS, Windows 11 Laptop Computer with Backlit Keyboard and Finger Print Touch ID, AC WiFi,Gray",16 GB LPDDR4,256 GB SSD,Intel,0,Morostron,LeadBook T7 PRO,Windows 11,Intel,LeadBook T7 PRO,16 GB,Intel,Laptop,Quad-Core,,other,SSD,Intel,15.6,1920,1080,1.6782904,0,Gray
380.7864,"Laptop Computer, 15.6"" Laptop, 16GB RAM 512GB ROM, Intel Celeron Quad-Core Processors, Laptop Computers with 1080P FHD, 38000mWh Battery, WiFi, Bluetooth, Type-C, TF Card",16 GB DDR4,512 GB SSD,Intel HD Graphics 520,2,ANMESC,AN-X19,Windows 11 Home,Intel,Laptop,32 GB,Intel,Laptop,Celeron,2.9 GHz,other,,Intel,15.6,1920,1080,2.27703184,0,other
569.84,"LENOVO IdeaPad 1 Laptop, 15.6” FHD Display, Intel Celeron N4500 Processor, 20GB RAM, 1TB SSD, SD Card Reader, Numeric Keypad, HDMI, Wi-Fi 6, Windows 11 Home, 1 Year Office 365, Grey",20 GB DDR4,1 TB SSD,Intel UHD Graphics,0,LENOVO,IdeaPad 1 15IJL7,Windows 11 Home,Intel,IdeaPad 1 15IJL7,1,LENOVO,Laptop,Celeron,2.8 GHz,other,SSD,Intel,15.6,1920,1080,1.57850016,0,Grey
1409.4088,"Dell Inspiron 16 5630 Laptop - Intel Core i7-1360P, 16-inch 16:10 FHD+ Display, 16GB LPDDR5 RAM, 1TB SSD, Intel Iris Xe Graphics, Windows 11 Pro, Services Included - Platinum Silver",1 TB LPDDR5,1 TB SSD,Intel Iris Xe Graphics,2,Dell,Dell Inspiron 16 5630 Laptop,Windows 11 Pro,Intel,i5630-7862SLV-PUS,,Dell,Laptop,Intel Core i7,5 GHz,other,SSD,Intel,16.0,1920,1200,1.94137376,0,Platinum
1733.9320000000002,"Late 2021 Apple MacBook Pro with Apple M1 Pro chip (16-inch, 16GB RAM, 512GB SSD) Space Gray (Renewed)",16 GB DDR3,512 GB SSD,M1 Pro,0,Apple,MK183LL/A,Mac OS,Apple,MK183LL/A,,,SSD,apple_m1,3.1 GHz,other,SSD,Other,16.2,3456,2234,3.10256928,1,Gray
547.4816000000001,"2019 Apple MacBook Air with 1.6GHz Intel Core i5 (13-inch, 8GB RAM, 128GB SSD Storage) Space Gray (Renewed)",8 GB DDR3,128 GB SSD,Intel UHD Graphics 617,0,Apple,MacBook Air,macOS 10.13 High Sierra,Intel,MVFH2LL/A,1,Intel,SSD,Intel Core i5,1.6 GHz,other,SSD,Intel,13.3,2560,1600,1.59664384,1,Gray
1903.9864,"ASUS ROG Strix G16 (2024) Gaming Laptop, 16” 16:10 FHD 165Hz Display, NVIDIA® GeForce RTX™ 4060, Intel Core i7-13650HX, 16GB DDR5, 1TB PCIe Gen4 SSD, Wi-Fi 6E, Windows 11, G614JV-AS74",DDR5,SSD,NVIDIA GeForce RTX 4060,2,ASUS,Strix G16,Windows 11 Home,Intel,G614JV-AS74,,ASUS,Gaming Laptop,Intel Core i7,4.9 GHz,ddr5,SSD,NVIDIA,16.0,1366,768,4.63117432,0,other
679.9864000000001,"Lenovo Newest V15 Series Laptop, 24GB RAM, 1TB SSD Storage 15.6″ FHD Display with Low-Blue Light, Intel 4-Cores Upto 3.3Ghz Processor, HDMI, Ethernet Port, WiFi & Bluetooth, Windows 11 Home",24 GB DDR4,1 TB SSD,Intel UHD Graphics,2,Lenovo,V15,Windows 11 Home,Intel,G2,6,Lenovo,Laptop,,4,other,SSD,Intel,15.0,1920,1080,1.7009699999999999,0,Blue
642.2192000000001,"2019 Apple MacBook Pro with 1.4GHz Intel Core i5 (13 inch, 8GB RAM, 128GB SSD) - Space Gray (Renewed)",8 GB DDR3,128 GB SSD,Intel Iris Plus Graphics 645,0,Apple,MacBook Pro,macOS 10.15 Catalina,core_i5,MUHN2LL/A,1,Intel,SSD,Intel Core i5,1.4 GHz,other,SSD,Intel,13.3,1366,768,1.3426323199999999,1,Gray
