,Price,Title,Hard Drive,Number of USB 3.0 Ports,Brand,Series,Processor Brand,Item model number,Memory Technology,Hard Disk Description,Graphics Chipset Brand,DisplaySizeInches,HorizontalPixels,VerticalPixels,WeightKg,Refurbished,base_color,RAM_in_GB,Graphics_Coprocessor_Brand,OS_Name,MANU_Name,Graphics Storage (GB),Laptop_Type,ProcessorManufacturer,ProcessorSpeedGHz,HDD_NEW,SSD_NEW,Hybrid_NEW,Flash_Storage_NEW
35,270.64000000000004,"Acer Chromebook Spin 311 Convertible Laptop, Intel Celeron N4020, 11.6"" HD Touch, 4GB LPDDR4, 32GB eMMC, Gigabit Wi-Fi 5, Bluetooth 5.0, Google Chrome, CP311-2H-C679",32  Embedded MultiMediaCard,2,acer,Chromebook Spin 311,Intel,CP311-2H-C679,other,Other,Intel,11.6,1366.0,768.0,1.2020188,0,other,4.0,Intel,Other,acer,4,Chromebook,Other,5.0,0,0,0,0
36,1087.9864,"ASUS ROG Strix G15 (2022) Gaming Laptop, 15” 16:10 FHD 144Hz, GeForce RTX 3050, AMD Ryzen™ 7 6800H/HS, 16GB DDR5, 512GB PCIe SSD, Wi-Fi 6E, Windows 11, G513RC-ES73, Eclipse Gray",512  SSD,2,ASUS,ROG Strix G15,AMD,G513RC-ES73,ddr5,SSD,AMD,15.6,1920.0,1080.0,3.94171448,0,Gray,16.0,NVIDIA,Windows,asus,4,Gaming,Other,4.7,0,0,0,0
37,724.7168,"HP 17 Business Laptop, 17.3” HD+ Display, 11th Gen Intel Core i3-1125G4 Processor, 32GB RAM, 1TB SSD, Wi-Fi, HDMI, Webcam, Windows 11 Pro, Silver",1 000 SSD,0,HP,TPN-I139_320M3AV,Intel,TPN-I139_320M3AV,other,SSD,Intel,17.3,1600.0,900.0,2.0865232,0,Silver,32.0,Intel,Windows,hp,32,Laptop,Intel I3,3.0,0,0,0,0
38,671.84,"Dell Inspiron 15 3000 3520 Business Laptop Computer[Windows 11 Pro], 15.6'' FHD Touchscreen, 11th Gen Intel Quad-Core i5-1135G7, 16GB RAM, 1TB PCIe SSD, Numeric Keypad, Wi-Fi, Webcam, HDMI, Black",1 000 SSD,1,Dell,Dell Inspiron,Intel,Dell Laptop,other,SSD,Intel,15.6,1920.0,1080.0,1.73272144,0,Black,16.0,Intel,Windows,dell,16,Laptop,Other,4.2,0,0,0,0
39,1903.9864,"Lenovo ThinkPad X1 Carbon Gen 11 21HM002DUS Black Laptop, i7-1355U, 16GB, 512GB PCIe SSD, 14.0"" IPS Touch Wide UXGA (1920x1200), Intel Iris Xe, Windows 11 Pro",512  SSD,3,Lenovo,X1 Carbon Gen 11,Intel,21HM,other,SSD,Intel,14.0,1920.0,1080.0,0.6350288,0,Carbon,16.0,Intel,Windows,lenovo,16,Laptop,Other,4.7,0,0,0,0
40,692.24,"Lenovo V15 Laptop, 15.6"" FHD Display, AMD Ryzen 5 5500U Hexa-core Processor (Beat Intel i7-1065G7), 16GB RAM, 1TB SSD, HDMI, RJ45, Numeric Keypad, Wi-Fi, Windows 11 Pro, Black",1 000 SSD,1,Lenovo,Lenovo V15 G2 ALC,AMD,Lenovo V15 G2 ALC,other,SSD,AMD,15.6,1920.0,1080.0,1.70097,0,Black,16.0,AMD,Windows,lenovo,6,Laptop,AMD RYZEN 5,5.0,0,0,0,0
41,318.92,"HP 2023 15'' HD IPS Laptop, Windows 11, Intel Pentium 4-Core Processor Up to 2.70GHz, 8GB RAM, 128GB SSD, HDMI, Super-Fast 6th Gen WiFi, Dale Red (Renewed)",128  SSD,3,HP,"HP 15"" Laptop",Intel,"HP 15"" Laptop",other,SSD,Intel,15.0,1366.0,768.0,0.0180019325,1,Red,8.0,Intel,Windows,hp,8,Laptop,Other,4.0,0,0,0,0
42,2680.7504000000004,"ASUS ROG Strix G16 (2023) Gaming Laptop, 16” 16:10 FHD 165Hz, GeForce RTX 4070, Intel Core i9-13980HX, 16GB DDR5, 1TB PCIe SSD, Wi-Fi 6E, Windows 11, G614JI-AS94, Eclipse Gray",1 000 SSD,2,ASUS,ROG Strix G16,Intel,G614JI-AS94,ddr5,SSD,Intel,16.0,1920.0,1200.0,3.175144,0,Gray,16.0,NVIDIA,Windows,asus,6,Gaming,Intel I9,5.6,0,0,0,0
43,271.98640000000006,"Laptop Computer,8GB RAM 256GB SSD, Intel Celeron Processor, Laptop Computers with 1366 * 768 IPS Display,2.4/5G WiFi, Bluetooth, Type-C, TF Card, 2MP Webcam",256  SSD,2,UGRIHACH,UG-CS-156,Intel,CS-156,other,SSD,Intel,15.6,1366.0,768.0,1.65107488,0,other,16.0,Intel,Other,Other,2,Laptop,Other,2.4,0,0,0,0
44,503.1864000000001,"Morostron 15.6"" Full Metal Laptop Intel Quad-Core Processor, 16GB LPDDR4 RAM 256GB SSD and 1080P FHD IPS, Windows 11 Laptop Computer with Backlit Keyboard and Finger Print Touch ID, AC WiFi,Gray",256  SSD,0,Morostron,LeadBook T7 PRO,Intel,LeadBook T7 PRO,other,SSD,Intel,15.6,1920.0,1080.0,1.6782904,0,Gray,16.0,Intel,Windows,Other,16,Laptop,Other,3.0,0,0,0,0
